Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Acrodermatitis enteropathica,SLC39A4,solute carrier family 39 member 4,"Infancy, Neonatal",Autosomal recessive
Acrodysostosis,PDE4D,phosphodiesterase 4D,"Antenatal, Neonatal",Autosomal dominant
Acrodysostosis,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,"Antenatal, Neonatal",Autosomal dominant
Hajdu-Cheney syndrome,NOTCH2,notch receptor 2,"Childhood, Infancy",Autosomal dominant
"Acrofacial dysostosis, Weyers type",EVC,EvC ciliary complex subunit 1,Neonatal,Autosomal dominant
"Acrofacial dysostosis, Weyers type",EVC2,EvC ciliary complex subunit 2,Neonatal,Autosomal dominant
"Acrofacial dysostosis, Weyers type",CTNNB1,catenin beta 1,Neonatal,Autosomal dominant
17p11.2 microduplication syndrome,RAI1,retinoic acid induced 1,"Childhood, Infancy, Neonatal",Not applicable
Proximal Xq28 duplication syndrome,MECP2,methyl-CpG binding protein 2,"Antenatal, Neonatal",
TRIM32-related limb-girdle muscular dystrophy R8,TRIM32,tripartite motif containing 32,"Adolescent, Adult, Childhood",Autosomal recessive
Amelocerebrohypohidrotic syndrome,SLC13A5,solute carrier family 13 member 5,"Childhood, Infancy, Neonatal",Autosomal recessive
Amelocerebrohypohidrotic syndrome,ROGDI,rogdi atypical leucine zipper,"Childhood, Infancy, Neonatal",Autosomal recessive
Familial visceral myopathy,ACTG2,"actin gamma 2, smooth muscle",All ages,Autosomal dominant
Carnitine palmitoyl transferase 1A deficiency,CPT1A,carnitine palmitoyltransferase 1A,"Infancy, Neonatal",Autosomal recessive
Mitochondrial myopathy and sideroblastic anemia,PUS1,pseudouridine synthase 1,"Adolescent, Childhood, Infancy",Autosomal recessive
Mitochondrial myopathy and sideroblastic anemia,YARS2,tyrosyl-tRNA synthetase 2,"Adolescent, Childhood, Infancy",Autosomal recessive
Ankyloblepharon filiforme adnatum-cleft palate syndrome,TP63,tumor protein p63,Neonatal,Autosomal dominant
Vein of Galen malformation,EPHB4,EPH receptor B4,"Antenatal, Infancy, Neonatal",Not applicable
Mosaic variegated aneuploidy syndrome,TRIP13,thyroid hormone receptor interactor 13,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Mosaic variegated aneuploidy syndrome,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Mosaic variegated aneuploidy syndrome,CEP57,centrosomal protein 57,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Mosaic variegated aneuploidy syndrome,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Mosaic variegated aneuploidy syndrome,BUB3,BUB3 mitotic checkpoint protein,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Metaphyseal anadysplasia,MMP13,matrix metallopeptidase 13,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Metaphyseal anadysplasia,MMP9,matrix metallopeptidase 9,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Microphthalmia with limb anomalies,SMOC1,SPARC related modular calcium binding 1,"Antenatal, Neonatal",Autosomal recessive
Agnathia-holoprosencephaly-situs inversus syndrome,OTX2,orthodenticle homeobox 2,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Agnathia-holoprosencephaly-situs inversus syndrome,PRRX1,paired related homeobox 1,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Fetal akinesia deformation sequence,SLC18A3,solute carrier family 18 member A3,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,MYOD1,myogenic differentiation 1,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,RAPSN,receptor associated protein of the synapse,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,DOK7,docking protein 7,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,MUSK,muscle associated receptor tyrosine kinase,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,NUP88,nucleoporin 88,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,GLDN,gliomedin,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,KIF21A,kinesin family member 21A,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,MAGEL2,MAGE family member L2,"Antenatal, Neonatal",Autosomal recessive
Fetal akinesia deformation sequence,TUBA1A,tubulin alpha 1a,"Antenatal, Neonatal",Autosomal recessive
Aicardi-Goutières syndrome,LSM11,"LSM11, U7 small nuclear RNA associated","Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,RNU7-1,"RNA, U7 small nuclear 1","Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,RNASEH2A,ribonuclease H2 subunit A,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,RNASEH2B,ribonuclease H2 subunit B,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,RNASEH2C,ribonuclease H2 subunit C,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,ADAR,adenosine deaminase RNA specific,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,TREX1,three prime repair exonuclease 1,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Aicardi-Goutières syndrome,IFIH1,interferon induced with helicase C domain 1,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
ADULT syndrome,TP63,tumor protein p63,"Antenatal, Neonatal",Autosomal dominant
Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,SHH,sonic hedgehog signaling molecule,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,LMBR1,limb development membrane protein 1,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Testicular regression syndrome,DHX37,DEAH-box helicase 37,Neonatal,Autosomal recessive
Hereditary sensory and autonomic neuropathy type 2,SCN9A,sodium voltage-gated channel alpha subunit 9,"Infancy, Neonatal",Autosomal recessive
Hereditary sensory and autonomic neuropathy type 2,WNK1,WNK lysine deficient protein kinase 1,"Infancy, Neonatal",Autosomal recessive
Hereditary sensory and autonomic neuropathy type 2,RETREG1,reticulophagy regulator 1,"Infancy, Neonatal",Autosomal recessive
Hereditary sensory and autonomic neuropathy type 2,KIF1A,kinesin family member 1A,"Infancy, Neonatal",Autosomal recessive
"Acromesomelic dysplasia, Maroteaux type",NPR2,natriuretic peptide receptor 2,"Infancy, Neonatal",Autosomal recessive
Acromicric dysplasia,FBN1,fibrillin 1,Neonatal,Autosomal dominant
Acromicric dysplasia,LTBP3,latent transforming growth factor beta binding protein 3,Neonatal,Autosomal dominant
Adams-Oliver syndrome,NOTCH1,notch receptor 1,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Adams-Oliver syndrome,ARHGAP31,Rho GTPase activating protein 31,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Adams-Oliver syndrome,DOCK6,dedicator of cytokinesis 6,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Adams-Oliver syndrome,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Adams-Oliver syndrome,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Adams-Oliver syndrome,DLL4,delta like canonical Notch ligand 4,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
Hereditary continuous muscle fiber activity,KCNA1,potassium voltage-gated channel subfamily A member 1,"Childhood, Infancy",Autosomal dominant
Acro-renal-ocular syndrome,SALL4,spalt like transcription factor 4,"Antenatal, Neonatal",Autosomal dominant
"Acromesomelic dysplasia, Hunter-Thompson type",GDF5,growth differentiation factor 5,"Antenatal, Neonatal",Autosomal recessive
Carney triad,SDHA,succinate dehydrogenase complex flavoprotein subunit A,"Adolescent, Adult",
Carney triad,SDHB,succinate dehydrogenase complex iron sulfur subunit B,"Adolescent, Adult",
Carney triad,SDHC,succinate dehydrogenase complex subunit C,"Adolescent, Adult",
Enamel-renal syndrome,FAM20A,FAM20A golgi associated secretory pathway pseudokinase,Childhood,Autosomal recessive
Alström syndrome,ALMS1,ALMS1 centrosome and basal body associated protein,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
X-linked cerebral adrenoleukodystrophy,ABCD1,ATP binding cassette subfamily D member 1,All ages,X-linked recessive
Adrenomyeloneuropathy,ABCD1,ATP binding cassette subfamily D member 1,Adult,X-linked recessive
Encephalopathy due to prosaposin deficiency,PSAP,prosaposin,"Infancy, Neonatal",Autosomal recessive
Alopecia universalis,HR,HR lysine demethylase and nuclear receptor corepressor,All ages,"Autosomal recessive, Multigenic/multifactorial"
Autosomal dominant palmoplantar keratoderma and congenital alopecia,GJA1,gap junction protein alpha 1,"Infancy, Neonatal",Autosomal dominant
2q37 microdeletion syndrome,HDAC4,histone deacetylase 4,Neonatal,"Autosomal dominant, Not applicable"
Allan-Herndon-Dudley syndrome,SLC16A2,solute carrier family 16 member 2,"Antenatal, Infancy, Neonatal",X-linked recessive
Borjeson-Forssman-Lehmann syndrome,PHF6,PHD finger protein 6,Neonatal,X-linked recessive
Boomerang dysplasia,FLNB,filamin B,"Antenatal, Neonatal",Not applicable
Bartsocas-Papas syndrome,RIPK4,receptor interacting serine/threonine kinase 4,"Antenatal, Neonatal",Autosomal recessive
Barber-Say syndrome,TWIST2,twist family bHLH transcription factor 2,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Pseudo-TORCH syndrome type 1,OCLN,occludin,"Antenatal, Neonatal",Autosomal recessive
Bannayan-Riley-Ruvalcaba syndrome,PTEN,phosphatase and tensin homolog,"Infancy, Neonatal",Autosomal dominant
Behr syndrome,OPA1,OPA1 mitochondrial dynamin like GTPase,,Autosomal recessive
Congenital contractural arachnodactyly,FBN2,fibrillin 2,Neonatal,Autosomal dominant
Glycogen storage disease due to muscle and heart glycogen synthase deficiency,GYS1,glycogen synthase 1,Childhood,Autosomal recessive
Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome,PTEN,phosphatase and tensin homolog,Neonatal,Not applicable
Branchioskeletogenital syndrome,CDH11,cadherin 11,Neonatal,"Autosomal recessive, X-linked dominant"
Autosomal dominant popliteal pterygium syndrome,IRF6,interferon regulatory factor 6,"Antenatal, Neonatal",Autosomal dominant
Overgrowth-macrocephaly-facial dysmorphism syndrome,RNF135,ring finger protein 135,"Antenatal, Infancy, Neonatal",Autosomal dominant
Branchio-oculo-facial syndrome,TFAP2A,transcription factor AP-2 alpha,"Antenatal, Neonatal",Autosomal dominant
Hypomyelinating leukodystrophy-ataxia-hypodontia-hypomyelination syndrome,POLR3A,RNA polymerase III subunit A,"Infancy, Neonatal",Autosomal recessive
Brachydactyly-arterial hypertension syndrome,PDE3A,phosphodiesterase 3A,Neonatal,Autosomal dominant
Brachydactyly-elbow wrist dysplasia syndrome,MACROH2A1,macroH2A.1 histone,"Antenatal, Infancy, Neonatal",Autosomal dominant
Brachydactyly-elbow wrist dysplasia syndrome,PITX1,paired like homeodomain 1,"Antenatal, Infancy, Neonatal",Autosomal dominant
Bowen-Conradi syndrome,EMG1,EMG1 N1-specific pseudouridine methyltransferase,"Antenatal, Neonatal",Autosomal recessive
Legius syndrome,SPRED1,sprouty related EVH1 domain containing 1,"Childhood, Infancy, Neonatal",Autosomal dominant
Ataxia-oculomotor apraxia type 1,APTX,aprataxin,Childhood,Autosomal recessive
Frank-Ter Haar syndrome,SH3PXD2B,SH3 and PX domains 2B,"Antenatal, Neonatal",Autosomal recessive
X-linked intellectual disability-cerebellar hypoplasia syndrome,OPHN1,oligophrenin 1,"Infancy, Neonatal",X-linked dominant
Autosomal recessive cerebelloparenchymal disorder type 3,PMPCA,"peptidase, mitochondrial processing subunit alpha","Adolescent, Childhood, Infancy",Autosomal recessive
X-linked progressive cerebellar ataxia,GJB1,gap junction protein beta 1,Childhood,X-linked recessive
Ataxia-hypogonadism-choroidal dystrophy syndrome,PNPLA6,"patatin like domain 6, lysophospholipase",Childhood,Autosomal recessive
Cerebellar ataxia-hypogonadism syndrome,PNPLA6,"patatin like domain 6, lysophospholipase","Adolescent, Adult, Childhood",Autosomal recessive
Cerebellar ataxia-hypogonadism syndrome,RNF216,ring finger protein 216,"Adolescent, Adult, Childhood",Autosomal recessive
Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,GFM1,G elongation factor mitochondrial 1,Neonatal,Autosomal recessive
Histiocytoid cardiomyopathy,MT-CYB,mitochondrially encoded cytochrome b,"Infancy, Neonatal","Autosomal recessive, Unknown, X-linked dominant"
Spondyloepiphyseal dysplasia with metatarsal shortening,COL2A1,collagen type II alpha 1 chain,"Adolescent, Childhood",Autosomal dominant
Aminoacylase 1 deficiency,ACY1,aminoacylase 1,Childhood,Autosomal recessive
Infantile-onset X-linked spinal muscular atrophy,UBA1,ubiquitin like modifier activating enzyme 1,Neonatal,X-linked recessive
Lethal congenital contracture syndrome type 2,ERBB3,erb-b2 receptor tyrosine kinase 3,"Antenatal, Neonatal",Autosomal recessive
Kuskokwim syndrome,FKBP10,FKBP prolyl isomerase 10,"Childhood, Neonatal",Autosomal recessive
Progressive pseudorheumatoid dysplasia,CCN6,cellular communication network factor 6,Childhood,Autosomal recessive
Lethal congenital contracture syndrome type 3,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma,"Antenatal, Neonatal",Autosomal recessive
Lethal congenital contracture syndrome type 3,MYBPC1,myosin binding protein C1,"Antenatal, Neonatal",Autosomal recessive
Autosomal dominant optic atrophy plus syndrome,OPA1,OPA1 mitochondrial dynamin like GTPase,"Adolescent, Adult, Childhood",Autosomal dominant
Autosomal dominant congenital benign spinal muscular atrophy,TRPV4,transient receptor potential cation channel subfamily V member 4,"Antenatal, Neonatal",Autosomal dominant
Baller-Gerold syndrome,RECQL4,RecQ like helicase 4,"Antenatal, Neonatal",Autosomal recessive
Bamforth-Lazarus syndrome,FOXE1,forkhead box E1,"Antenatal, Neonatal",Autosomal recessive
Auriculocondylar syndrome,GNAI3,G protein subunit alpha i3,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Auriculocondylar syndrome,PLCB4,phospholipase C beta 4,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Auriculocondylar syndrome,EDN1,endothelin 1,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Male infertility due to large-headed multiflagellar polyploid spermatozoa,AURKC,aurora kinase C,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,DNHD1,dynein heavy chain domain 1,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,CFAP47,cilia and flagella associated protein 47,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,DNAH10,dynein axonemal heavy chain 10,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,AKAP3,A-kinase anchoring protein 3,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,CFAP61,cilia and flagella associated protein 61,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,ARMC12,armadillo repeat containing 12,,Autosomal recessive
Male infertility due to large-headed multiflagellar polyploid spermatozoa,IFT74,intraflagellar transport 74,,Autosomal recessive
Infantile-onset spinocerebellar ataxia,TWNK,twinkle mtDNA helicase,Infancy,Autosomal recessive
Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial","Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
Lethal ataxia with deafness and optic atrophy,PRPS1,phosphoribosyl pyrophosphate synthetase 1,"Infancy, Neonatal",X-linked recessive
Atelosteogenesis type I,FLNB,filamin B,"Antenatal, Neonatal",Autosomal dominant
Hypotonia with lactic acidemia and hyperammonemia,MRPS22,mitochondrial ribosomal protein S22,"Antenatal, Neonatal",Autosomal recessive
Burn-McKeown syndrome,POLR1A,RNA polymerase I subunit A,Neonatal,Autosomal recessive
Burn-McKeown syndrome,TXNL4A,thioredoxin like 4A,Neonatal,Autosomal recessive
Tessier number 4 facial cleft,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,"Antenatal, Neonatal",Unknown
CODAS syndrome,LONP1,"lon peptidase 1, mitochondrial","Infancy, Neonatal",Autosomal recessive
Joubert syndrome with hepatic defect,TMEM67,transmembrane protein 67,Neonatal,Autosomal recessive
Joubert syndrome with hepatic defect,RPGRIP1L,RPGRIP1 like,Neonatal,Autosomal recessive
Joubert syndrome with hepatic defect,CC2D2A,coiled-coil and C2 domain containing 2A,Neonatal,Autosomal recessive
Joubert syndrome with hepatic defect,INPP5E,inositol polyphosphate-5-phosphatase E,Neonatal,Autosomal recessive
Coats disease,NDP,norrin cystine knot growth factor NDP,Childhood,Not applicable
Benign hereditary chorea,NKX2-1,NK2 homeobox 1,"Childhood, Infancy",Autosomal dominant
Benign hereditary chorea,ADCY5,adenylate cyclase 5,"Childhood, Infancy",Autosomal dominant
Greenberg dysplasia,LBR,lamin B receptor,"Antenatal, Neonatal",Autosomal recessive
Autosomal recessive otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,"Antenatal, Neonatal",Autosomal recessive
Xq21 microdeletion syndrome,POU3F4,POU class 3 homeobox 4,"Infancy, Neonatal",X-linked recessive
,GRHL3,grainyhead like transcription factor 3,,
,UBB,ubiquitin B,,
Corneal dystrophy-perceptive deafness syndrome,SLC4A11,solute carrier family 4 member 11,Neonatal,Autosomal recessive
Lethal congenital contracture syndrome type 1,GLE1,GLE1 RNA export mediator,"Antenatal, Neonatal",Autosomal recessive
Tessier number 7 facial cleft,PTCH2,patched 2,"Antenatal, Neonatal",Autosomal dominant
Tessier number 7 facial cleft,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,"Antenatal, Neonatal",Autosomal dominant
COFS syndrome,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit","Antenatal, Neonatal",Autosomal recessive
COFS syndrome,ERCC6,"ERCC excision repair 6, chromatin remodeling factor","Antenatal, Neonatal",Autosomal recessive
COFS syndrome,ERCC5,"ERCC excision repair 5, endonuclease","Antenatal, Neonatal",Autosomal recessive
COFS syndrome,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit","Antenatal, Neonatal",Autosomal recessive
Cleft lip and alveolus,MSX1,msh homeobox 1,"Infancy, Neonatal",Multigenic/multifactorial
Cleft lip and alveolus,TP63,tumor protein p63,"Infancy, Neonatal",Multigenic/multifactorial
Cleft lip and alveolus,IRF6,interferon regulatory factor 6,"Infancy, Neonatal",Multigenic/multifactorial
Cleft lip and alveolus,NECTIN1,nectin cell adhesion molecule 1,"Infancy, Neonatal",Multigenic/multifactorial
Uncombable hair syndrome,PADI3,peptidyl arginine deiminase 3,Childhood,Autosomal recessive
Uncombable hair syndrome,TGM3,transglutaminase 3,Childhood,Autosomal recessive
Tarsal-carpal coalition syndrome,NOG,noggin,Neonatal,Autosomal dominant
Familial calcium pyrophosphate deposition,TNFRSF11B,TNF receptor superfamily member 11b,Adult,"Autosomal dominant, Not applicable"
Familial calcium pyrophosphate deposition,ANKH,ANKH inorganic pyrophosphate transport regulator,Adult,"Autosomal dominant, Not applicable"
Cerebrofaciothoracic dysplasia,TMCO1,transmembrane and coiled-coil domains 1,"Antenatal, Neonatal",Autosomal recessive
CHAND syndrome,RIPK4,receptor interacting serine/threonine kinase 4,Neonatal,Autosomal recessive
External auditory canal aplasia/hypoplasia,TSHZ1,teashirt zinc finger homeobox 1,Neonatal,Autosomal dominant
"Metaphyseal chondrodysplasia, Schmid type",COL10A1,collagen type X alpha 1 chain,"Childhood, Infancy, Neonatal",Autosomal dominant
Desbuquois syndrome,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,"Antenatal, Neonatal",Autosomal recessive
Desbuquois syndrome,CANT1,calcium activated nucleotidase 1,"Antenatal, Neonatal",Autosomal recessive
Desbuquois syndrome,XYLT1,xylosyltransferase 1,"Antenatal, Neonatal",Autosomal recessive
"Spondyloepimetaphyseal dysplasia, matrilin-3 type",MATN3,matrilin 3,"Antenatal, Neonatal",Autosomal recessive
Hereditary hyperferritinemia-cataract syndrome,FTL,ferritin light chain,All ages,Autosomal dominant
Autosomal recessive palmoplantar keratoderma and congenital alopecia,LSS,lanosterol synthase,Neonatal,Autosomal recessive
Cerebrocostomandibular syndrome,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Cold-induced sweating syndrome,KLHL7,kelch like family member 7,"Adult, Childhood",Autosomal recessive
Cold-induced sweating syndrome,CRLF1,cytokine receptor like factor 1,"Adult, Childhood",Autosomal recessive
Cold-induced sweating syndrome,CLCF1,cardiotrophin like cytokine factor 1,"Adult, Childhood",Autosomal recessive
Serrated polyposis syndrome,RNF43,ring finger protein 43,"Adult, Elderly","Autosomal dominant, Multigenic/multifactorial, Unknown"
Catel-Manzke syndrome,TGDS,"TDP-glucose 4,6-dehydratase","Antenatal, Neonatal",Autosomal recessive
Mesoaxial synostotic syndactyly with phalangeal reduction,BHLHA9,basic helix-loop-helix family member a9,"Infancy, Neonatal",Autosomal recessive
Cataract-intellectual disability-hypogonadism syndrome,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,Neonatal,Autosomal recessive
Cataract-intellectual disability-hypogonadism syndrome,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,Neonatal,Autosomal recessive
Epithelioid hemangioendothelioma,TFE3,transcription factor binding to IGHM enhancer 3,"Adolescent, Adult, Childhood, Elderly",Not applicable
Epithelioid hemangioendothelioma,CAMTA1,calmodulin binding transcription activator 1,"Adolescent, Adult, Childhood, Elderly",Not applicable
Epithelioid hemangioendothelioma,YAP1,Yes1 associated transcriptional regulator,"Adolescent, Adult, Childhood, Elderly",Not applicable
Epithelioid hemangioendothelioma,WWTR1,WW domain containing transcription regulator 1,"Adolescent, Adult, Childhood, Elderly",Not applicable
Hereditary mixed polyposis syndrome,BMPR1A,bone morphogenetic protein receptor type 1A,Childhood,Autosomal dominant
Hereditary mixed polyposis syndrome,GREM1,"gremlin 1, DAN family BMP antagonist",Childhood,Autosomal dominant
Situs ambiguus,PKD1L1,"polycystin 1 like 1, transient receptor potential channel interacting",Antenatal,Multigenic/multifactorial
Situs ambiguus,ZIC3,Zic family zinc finger 3,Antenatal,Multigenic/multifactorial
Situs ambiguus,ACVR2B,activin A receptor type 2B,Antenatal,Multigenic/multifactorial
Situs ambiguus,LEFTY2,left-right determination factor 2,Antenatal,Multigenic/multifactorial
Situs ambiguus,NODAL,nodal growth differentiation factor,Antenatal,Multigenic/multifactorial
Situs ambiguus,CFAP53,cilia and flagella associated protein 53,Antenatal,Multigenic/multifactorial
Situs ambiguus,MMP21,matrix metallopeptidase 21,Antenatal,Multigenic/multifactorial
Situs ambiguus,CIROP,ciliated left-right organizer metallopeptidase,Antenatal,Multigenic/multifactorial
Situs ambiguus,DNAH9,dynein axonemal heavy chain 9,Antenatal,Multigenic/multifactorial
Situs ambiguus,CFC1,"cryptic, EGF-CFC family member 1",Antenatal,Multigenic/multifactorial
Late infantile CACH syndrome,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,Childhood,Autosomal recessive
Late infantile CACH syndrome,EIF2B2,eukaryotic translation initiation factor 2B subunit beta,Childhood,Autosomal recessive
Late infantile CACH syndrome,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,Childhood,Autosomal recessive
Late infantile CACH syndrome,EIF2B4,eukaryotic translation initiation factor 2B subunit delta,Childhood,Autosomal recessive
Late infantile CACH syndrome,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon,Childhood,Autosomal recessive
Juvenile or adult CACH syndrome,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,"Adolescent, Adult",Autosomal recessive
Juvenile or adult CACH syndrome,EIF2B2,eukaryotic translation initiation factor 2B subunit beta,"Adolescent, Adult",Autosomal recessive
Juvenile or adult CACH syndrome,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,"Adolescent, Adult",Autosomal recessive
Juvenile or adult CACH syndrome,EIF2B4,eukaryotic translation initiation factor 2B subunit delta,"Adolescent, Adult",Autosomal recessive
Juvenile or adult CACH syndrome,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon,"Adolescent, Adult",Autosomal recessive
Congenital or early infantile CACH syndrome,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,"Infancy, Neonatal",Autosomal recessive
Congenital or early infantile CACH syndrome,EIF2B2,eukaryotic translation initiation factor 2B subunit beta,"Infancy, Neonatal",Autosomal recessive
Congenital or early infantile CACH syndrome,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,"Infancy, Neonatal",Autosomal recessive
Congenital or early infantile CACH syndrome,EIF2B4,eukaryotic translation initiation factor 2B subunit delta,"Infancy, Neonatal",Autosomal recessive
Congenital or early infantile CACH syndrome,EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon,"Infancy, Neonatal",Autosomal recessive
Cataract-microcornea syndrome,CRYAA,crystallin alpha A,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,CRYBA4,crystallin beta A4,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,CRYBB2,crystallin beta B2,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,CRYGC,crystallin gamma C,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,CRYGD,crystallin gamma D,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,GJA8,gap junction protein alpha 8,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,CRYBB1,crystallin beta B1,Neonatal,"Autosomal dominant, Autosomal recessive"
Cataract-microcornea syndrome,MAF,MAF bZIP transcription factor,Neonatal,"Autosomal dominant, Autosomal recessive"
Hereditary hypophosphatemic rickets with hypercalciuria,SLC34A3,solute carrier family 34 member 3,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
Hereditary hypophosphatemic rickets with hypercalciuria,SLC34A1,solute carrier family 34 member 1,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
Camurati-Engelmann disease,TGFB1,transforming growth factor beta 1,"Adolescent, Adult, Childhood",Autosomal dominant
Heart defect-tongue hamartoma-polysyndactyly syndrome,WDPCP,WD repeat containing planar cell polarity effector,Neonatal,Autosomal recessive
Cardiofaciocutaneous syndrome,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","Antenatal, Neonatal",Autosomal dominant
Cardiofaciocutaneous syndrome,KRAS,"KRAS proto-oncogene, GTPase","Antenatal, Neonatal",Autosomal dominant
Cardiofaciocutaneous syndrome,MAP2K1,mitogen-activated protein kinase kinase 1,"Antenatal, Neonatal",Autosomal dominant
Cardiofaciocutaneous syndrome,MAP2K2,mitogen-activated protein kinase kinase 2,"Antenatal, Neonatal",Autosomal dominant
